"","GSM128731","GSM128734","GSM131685","GSM131686","GSM131687","GSM131688","GSM131689","GSM131690","GSM131691","GSM131692","GSM131693","GSM133816","GSM133817","GSM133818","GSM133819","GSM133820","GSM133821"
"AT2G23740",7.71942616209829,7.44049103057575,6.09171591670874,6.09422041103759,6.18805669630016,7.21115996816971,7.29016857503645,7.12024666357273,7.09937594429846,6.35665847805515,6.70381159037127,6.5280290750222,6.5351861416457,7.12032303597787,6.35214731692486,7.18745501847421,6.67404491058256
"AT2G22850",6.71298379678726,6.70531711777314,5.75062361129977,5.65789150242819,5.3778499413733,5.84215765407056,5.81509504236792,5.65255480490264,6.17020395563275,5.66621444329348,5.79028950936857,5.4757575646111,5.56044056326809,5.66326265011127,5.68776249704356,5.89262378223547,5.92489537313137
"AT1G09810",4.77837300746858,4.62870788201424,5.94272361295043,6.11027115731111,6.00115184008855,6.99966471816232,6.67299139404674,6.82706985254714,5.92073882279398,6.21269508919672,6.13720017833757,5.46215343164942,5.43067062765941,5.88746543652101,5.76183962490831,6.0778804140285,5.71779299617671
"AT2G22340",3.65065443450438,3.90124272292575,5.32545705157413,5.29241923128136,5.39154208022343,4.30060871058615,4.26815097971289,3.95978661277709,4.13858682795345,3.98993007835025,4.12532951504656,4.11245827399158,4.24287120751738,4.12881221032537,4.21532200940533,4.27622667986392,4.03803640399145
"AT2G22400",8.96503134886655,8.97929856670131,8.08365259394633,8.19338070743197,8.15452821216654,8.2547807698025,8.54844404513995,8.35729052573574,8.49261473489494,8.43021992765033,8.31319924871293,8.34927909207737,8.08887255829719,7.94914407321097,8.35938151381596,8.40896263415274,8.36963631951091
"AT2G21480",4.06938555265624,4.07709318297196,4.96527199861532,4.88252115827491,4.84985941677779,3.97585416575087,4.19985106748155,4.33625781161971,4.27277401599523,4.50129326318055,4.20126574841174,4.52101310379086,4.86753784281714,4.35446578332403,4.373755021718,4.06983374227564,4.32000562479293
"AT2G21300",7.62539159367568,7.40364391115484,5.54559473545788,5.35239452048632,5.46815712954518,6.98456166438879,6.97661983318199,6.82237277342909,7.05094569025124,6.76071487446159,6.50155973642903,5.61322169537119,5.58207753004666,5.68785196618481,5.15124076348836,5.56687123858578,5.46358903807176
"AT2G22125",9.98201850666557,9.97553671232362,8.94399036799055,8.95003339758276,8.93748156648182,9.40397936053814,9.65532482054584,9.48833617068932,9.68195138314965,9.5900963907013,9.45731044530311,9.70485914399155,9.14347664214842,9.67657136253639,9.31521155039296,9.33233328502401,9.29447833526857
"AT2G20670",5.44536168092198,7.82870578682729,7.60862985563338,7.6816727742439,7.48156686196947,7.44850854369504,7.24716775020664,7.00873431426111,7.11626405555073,6.96495480439017,7.13182735768708,4.42539538111464,4.64347161797216,5.25597188992039,4.91010207397481,5.50768203385665,5.70593384570445
"AT2G23900",5.43742408127406,6.6659560510239,8.65470272134984,8.66609830937484,8.40751657407914,5.78301997087322,5.84583535984736,5.96984557115394,5.70539441625827,5.72315984254492,5.62178653497585,5.01923920967645,4.88681992447898,5.31037878531698,4.65326725128173,5.06466793678403,5.15053673481521
